Was ist der zentrale Gegenstand des Marketing laut den konzeptionellen Grundlagen?,Die (Markt-) Transaktion.
Welche Voraussetzung muss für das Zustandekommen von Transaktionen erfüllt sein?,Die Wertschaffung.
Nenne die zwei genannten Sektoren mit marketingbezogenen Besonderheiten.,B2B- / Industriegütermarketing und Dienstleistungsmarketing.
Was beschreibt die 'Service Dominant Logic of Marketing' (SDL)?,Eine sektorale Besonderheit im Dienstleistungsmarketing.
In welche drei Bereiche werden Marketing-Management-Entscheidungen unterteilt?,"Zielentscheidungen, strategische Entscheidungen und operative Entscheidungen."
Welche drei Aspekte umfasst der Bereich der strategischen Marketingentscheidungen?,"Marktsegmentierung/-selektion, Marktimplantation und Wettbewerbs-/Marktpositionierung."
Was ist der Fokus der operativen Marketingentscheidungen?,"Der Marketing-Mix, insbesondere die Leistungspolitik."
In welche zwei Hauptentscheidungsbereiche gliedert sich die Leistungspolitik?,Produktbezogene Entscheidungen und programmbezogene Entscheidungen.
Was bedeutet 'Produktelimination' im Kontext der Leistungspolitik?,Die Einengung des Absatzprogramms.
Wie wird die Ausweitung der Programmbreite fachsprachlich bezeichnet?,Diversifikation.
Welche zwei Maßnahmen führen zu einer Ausweitung der Programmtiefe?,Produktinnovation und Produktdifferenzierung.
Wie definiert Kotler das 'Kernprodukt'?,Es repräsentiert den Grundnutzen des Produkts oder der Dienstleistung.
Welche Elemente gehören laut Kotler zum 'erweiterten / augmentierten Produkt'?,"Markenname, Verpackung, Produktdesign und Qualitätsniveau."
Nenne Beispiele für 'Produkterweiterungen' (Zusatznutzen) nach Kotler.,"Kundenbetreuung, Hotline, Gewährleistung, Installation und Schulungen."
Aus welchen zwei Hauptkomponenten setzt sich der Produktnutzen zusammen?,Grundnutzen (funktionaler Nutzen) und Zusatznutzen.
Wie wird der 'Zusatznutzen' weiter unterteilt?,In emotionalen Nutzen und Geltungsnutzen.
Was versteht man unter dem 'funktionalen Nutzen' eines Produkts?,Die physikalisch-funktionellen Eigenschaften des Produkts.
Was adressiert der 'emotionale Nutzen'?,Die ästhetischen Eigenschaften des Produktes.
Welche Dimension deckt der 'Geltungsnutzen' ab?,Die sozialen Eigenschaften des Produktes.
Warum ist die Nutzenbeurteilung im Marketing subjektiv?,Weil sie den individuellen Grad der Bedürfnisbefriedigung widerspiegelt.
Welche Konsumbeispiele nennt Maslow für 'Physiologische Bedürfnisse'?,"Lebensmittel, Kleidung und Wohnung."
Nenne ein leistungsbezogenes Angebot zur Befriedigung von Sicherheitsbedürfnissen.,"Versicherungen, Sicherheitsdienste oder Kapitalanlagen."
Welche Konsumform dient der Befriedigung von 'Sozialen Bedürfnissen'?,"Teilnahme an Clubs, Vereinen oder sozialen Netzwerken."
Wodurch werden 'Geltungs- / Wertschätzungsbedürfnisse' im Konsum konkretisiert?,"Durch Luxusprodukte, Marken, Schmuck oder prestigeträchtige Merkmale."
Welche Angebote zielen auf das Bedürfnis nach Selbstverwirklichung ab?,"Esoterikkurse, religiöse Angebote oder Weiterbildungen."
Wie unterscheiden sich Kunden- und Unternehmenssicht auf Qualität?,"Kunden haben individuelle subjektive Anforderungen, Unternehmen technische objektive Anforderungen."
Was ist das Ergebnis eines Merkmalsvergleichs aus Kundensicht?,Kundenorientierte Qualität.
Was bedeutet 'Underengineering' im Kontext von Anforderungs- und Leistungsprofilen?,Das Anforderungsprofil ist größer als das Leistungsprofil (fehlende Produktleistung).
"Wie wird die Situation genannt, in der das Leistungsprofil das Anforderungsprofil übersteigt?",Overengineering (Tendenz zur Überforderung des Kunden).
Was ist das Ziel des 'Quality Function Deployment' (QFD)?,"Die systematische Überführung von Kundenanforderungen (""WAS"") in technische Anforderungen (""WIE"")."
Wie wird das grafische Kernelement des QFD bezeichnet?,House of Quality.
Was besagt das C/D-Paradigma zur Kundenzufriedenheit?,Zufriedenheit resultiert aus dem Vergleich der erwarteten Leistung (Soll) mit der erfahrenen Leistung (Ist).
"Welcher Zustand tritt ein, wenn die Soll-Leistung gleich der Ist-Leistung ist ($Soll = Ist$)?",Kundenzufriedenheit (Konstätierung).
Wann spricht man im C/D-Paradigma von 'Kundenbegeisterung'?,Wenn die erfahrene Leistung die erwartete Leistung übersteigt ($Soll < Ist$).
Welche Anforderungskategorien unterscheidet das Kano-Modell?,"Basis-, Leistungs- und Begeisterungsanforderungen."
Welche positive Folge hat Kundenzufriedenheit für den Geschäftserfolg?,Erhöhung der Kundenbindung und Nutzung von Cross-Selling-Potenzialen.
Was ist eine typische Auswirkung von Kundenunzufriedenheit?,Negative Mundpropaganda (WoM) und Imageschaden.
Wie definiert sich eine 'Marke'?,"Ein Name, Zeichen, Symbol oder eine Kombination daraus zur Kennzeichnung von Leistungen."
Was ist der Unterschied zwischen Markenname und Markenzeichen?,"Der Markenname ist der verbale Teil, das Markenzeichen der erkennbare, nicht-verbale Teil."
Was versteht man unter einem 'Warenzeichen'?,"Eine rechtlich geschützte Marke, die exklusiv vom Anbieter geführt werden darf."
Nenne drei typische Ziele der Markierung.,"Eindeutige Identifikation, Differenzierung vom Wettbewerb und Aufbau eines Markenimages."
Was umfasst das 'Branding im engeren Sinne'?,Markenname und Markenslogan.
Welche Elemente gehören zum 'Branding im weiteren Sinne'?,"Zusätzlich zum Namen und Slogan auch Logo, Produktdesign, Verpackungsdesign und Markenkommunikation."
Nenne drei Beispiele für primäre Markenelemente.,"Name, Logo/Symbol und Claim/Slogan."
Was sind sekundäre Markenelemente?,"Externe Faktoren wie Herkunftsland, Gütesiegel, Influencer oder Markenallianzen."
Welche drei Anforderungen müssen bei der Markengestaltung beachtet werden?,"Eigenständigkeit, Unterscheidbarkeit und rechtliche Schutzfähigkeit."
Was ist eine 'Einzelmarke' (House of Brands)?,Jedes Produkt eines Unternehmens wird unter einer eigenen Marke geführt.
"Wie wird eine Markenstrategie genannt, bei der alle Produkte unter einer Unternehmensmarke laufen?",Dachmarke (Branded House).
Welchen ökonomischen Nutzen bietet eine Marke dem Anbieter?,Durchsetzung höherer Preise und Steigerung des Unternehmenswerts.
Was ist der Unterschied zwischen Markenidentität und Markenimage?,"Identität ist das Selbstbild des Anbieters (Innensicht), Image ist das Fremdbild der Zielgruppe (Außensicht)."
Nenne die fünf Stufen der Markenbekanntheitspyramide von unten nach oben.,"Unbekannt, passive Bekanntheit (Wiedererkennung), aktive Bekanntheit (Erinnerung), Top of Mind, dominierende Marke."
Was sind 'Hard Facts' der Markenidentität?,"Markennutzen, Markeneigenschaften und Markenkompetenz."
Was sind 'Soft Facts' der Markenidentität?,Markentonalität und Markenbild.
Welche Dimensionen bestimmen das Markenimage?,"Stärke, Repräsentation, Zahl, Einzigartigkeit, Relevanz, Richtung und Zugriffsfähigkeit der Assoziationen."
Welchen rationalen Nutzen bietet eine Marke dem Abnehmer?,"Orientierungshilfe, Erleichterung der Informationsverarbeitung und Qualitätssignal."
Welchen emotionalen Nutzen bietet eine Marke dem Abnehmer?,Aufwertung des Selbstbildes und Demonstration von Gruppenzugehörigkeit.
"Wie wird die aktive Markenbekanntheit, bei der eine Marke als erstes genannt wird, bezeichnet?",Top of Mind.
Nenne ein Beispiel für eine programmbezogene Entscheidung zur Ausweitung der Programmbreite.,Diversifikation.
Welche Assoziation ist typisch für die Form eines Kreises in der Markenführung?,"Ausgeglichen, stabil, klar oder unendlich."
Was ist ein 'assoziativer Name' beim Branding?,Ein Name mit Bezug auf das Produkt (z. B. Milka) oder das Image (z. B. Mustang).
Was versteht man unter 'Sekundärdienstleistungspolitik'?,"Einen Entscheidungsbereich der Leistungspolitik, der über die Kernleistung hinausgeht."
Wie wirkt sich ein hohes Wohlstandsniveau laut dem dynamisierten Maslow-Modell aus?,Die Dringlichkeit verschiebt sich hin zu höheren Bedürfnissen wie Selbstverwirklichung.
Was kennzeichnet eine 'Familien- oder Range-Marke'?,Mehrere verwandte Produkte werden unter einer gemeinsamen Marke geführt.
